acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,song,speechiness,tempo,time_signature,track_href,type,uri,valence
0.0314,https://api.spotify.com/v1/audio-analysis/4q7O89ZgUgdhDnO4oW2p0M,0.415,261373,0.925,4q7O89ZgUgdhDnO4oW2p0M,0.00106,6,0.112,-5.859,1,14 Years - Guns N\' Roses,0.0354,138.443,4,https://api.spotify.com/v1/tracks/4q7O89ZgUgdhDnO4oW2p0M,audio_features,spotify:track:4q7O89ZgUgdhDnO4oW2p0M,0.567
0.0768,https://api.spotify.com/v1/audio-analysis/0fqKsU4Hsnb0oKlyjat9da,0.581,297800,0.548,0fqKsU4Hsnb0oKlyjat9da,0,8,0.0602,-9.099,1,143 - Musiq,0.0479,87.845,4,https://api.spotify.com/v1/tracks/0fqKsU4Hsnb0oKlyjat9da,audio_features,spotify:track:0fqKsU4Hsnb0oKlyjat9da,0.214
0.0489,https://api.spotify.com/v1/audio-analysis/6dsq7Nt5mIFzvm5kIYNORy,0.6,237293,0.853,6dsq7Nt5mIFzvm5kIYNORy,0.346,1,0.0934,-7.584,1,15 Step - Radiohead,0.0423,94.457,4,https://api.spotify.com/v1/tracks/6dsq7Nt5mIFzvm5kIYNORy,audio_features,spotify:track:6dsq7Nt5mIFzvm5kIYNORy,0.847
0.317,https://api.spotify.com/v1/audio-analysis/3l9zGL9JXEOyH5fHEDMoaC,0.784,221227,0.539,3l9zGL9JXEOyH5fHEDMoaC,0.377,11,0.0989,-7.676,0,1517 - The Whitest Boy Alive,0.0406,122.53,4,https://api.spotify.com/v1/tracks/3l9zGL9JXEOyH5fHEDMoaC,audio_features,spotify:track:3l9zGL9JXEOyH5fHEDMoaC,0.962
0.727,https://api.spotify.com/v1/audio-analysis/3Timk4Wy8wnJDCfq6O7YDW,0.604,174640,0.307,3Timk4Wy8wnJDCfq6O7YDW,0,10,0.0932,-10.832,1,16 Candles - The Crests,0.0275,114.009,3,https://api.spotify.com/v1/tracks/3Timk4Wy8wnJDCfq6O7YDW,audio_features,spotify:track:3Timk4Wy8wnJDCfq6O7YDW,0.604
0.177,https://api.spotify.com/v1/audio-analysis/1kSWrMDt439cT64WpjJigW,0.815,210880,0.72,1kSWrMDt439cT64WpjJigW,7.31E-06,7,0.16,-7.311,1,19-2000 - Gorillaz,0.0536,89.916,4,https://api.spotify.com/v1/tracks/1kSWrMDt439cT64WpjJigW,audio_features,spotify:track:1kSWrMDt439cT64WpjJigW,0.946
0.0099,https://api.spotify.com/v1/audio-analysis/3eqgWADdXhyfu84oQXebs9,0.209,269000,0.954,3eqgWADdXhyfu84oQXebs9,0.0816,5,0.463,-5.277,1,1958 - A Day To Remember,0.308,156.447,4,https://api.spotify.com/v1/tracks/3eqgWADdXhyfu84oQXebs9,audio_features,spotify:track:3eqgWADdXhyfu84oQXebs9,0.239
0.00286,https://api.spotify.com/v1/audio-analysis/2SldImPYsxx7E5ieMQSKT6,0.577,113507,0.892,2SldImPYsxx7E5ieMQSKT6,0.0147,6,0.0857,-7.803,0,1991 - Crystal Castles,0.0382,119.999,4,https://api.spotify.com/v1/tracks/2SldImPYsxx7E5ieMQSKT6,audio_features,spotify:track:2SldImPYsxx7E5ieMQSKT6,0.788
0.326,https://api.spotify.com/v1/audio-analysis/36AWdhZIGLUTkWpJDhe7va,0.646,241027,0.665,36AWdhZIGLUTkWpJDhe7va,1.97E-05,6,0.238,-7.878,1,2 Become 1 - Spice Girls,0.0268,143.966,4,https://api.spotify.com/v1/tracks/36AWdhZIGLUTkWpJDhe7va,audio_features,spotify:track:36AWdhZIGLUTkWpJDhe7va,0.7
0.301,https://api.spotify.com/v1/audio-analysis/1jF7PygdhLDuKpi8lDEf01,0.498,323453,0.803,1jF7PygdhLDuKpi8lDEf01,0.00426,9,0.35,-6.932,1,2080 - Yeasayer,0.0682,120.083,4,https://api.spotify.com/v1/tracks/1jF7PygdhLDuKpi8lDEf01,audio_features,spotify:track:1jF7PygdhLDuKpi8lDEf01,0.517
0.0217,https://api.spotify.com/v1/audio-analysis/1sFKcUH5sMAV4Qs0E99OLq,0.706,185527,0.737,1sFKcUH5sMAV4Qs0E99OLq,0.000255,0,0.223,-5.928,0,22 - Lily Allen,0.0482,131.134,4,https://api.spotify.com/v1/tracks/1sFKcUH5sMAV4Qs0E99OLq,audio_features,spotify:track:1sFKcUH5sMAV4Qs0E99OLq,0.926
0.839,https://api.spotify.com/v1/audio-analysis/39C4H7HixL2nnnqNxzgRKg,0.68,231320,0.338,39C4H7HixL2nnnqNxzgRKg,0.0257,1,0.107,-11.975,1,221 - keller williams,0.0635,114.355,4,https://api.spotify.com/v1/tracks/39C4H7HixL2nnnqNxzgRKg,audio_features,spotify:track:39C4H7HixL2nnnqNxzgRKg,0.797
0.0475,https://api.spotify.com/v1/audio-analysis/48d62MvdaC4lTjI0x4U4ij,0.626,234520,0.697,48d62MvdaC4lTjI0x4U4ij,0,4,0.122,-6.392,0,24 - Jem,0.0287,96.026,4,https://api.spotify.com/v1/tracks/48d62MvdaC4lTjI0x4U4ij,audio_features,spotify:track:48d62MvdaC4lTjI0x4U4ij,0.525
0.661,https://api.spotify.com/v1/audio-analysis/3S4za4Qsy4FY35sj0oPzDq,0.574,1400467,2.01E-05,3S4za4Qsy4FY35sj0oPzDq,0.135,11,0.428,-7.199,0,240 Years Before Your Time - The Black Keys,0.722,212.509,4,https://api.spotify.com/v1/tracks/3S4za4Qsy4FY35sj0oPzDq,audio_features,spotify:track:3S4za4Qsy4FY35sj0oPzDq,0.171
0.0518,https://api.spotify.com/v1/audio-analysis/2d7fRuDlFZfKIoSuf8bhGv,0.701,205533,0.72,2d7fRuDlFZfKIoSuf8bhGv,0,5,0.199,-1.948,0,3 - Britney Spears,0.0475,134.962,4,https://api.spotify.com/v1/tracks/2d7fRuDlFZfKIoSuf8bhGv,audio_features,spotify:track:2d7fRuDlFZfKIoSuf8bhGv,0.761
0.843,https://api.spotify.com/v1/audio-analysis/6AYFKOPbmd12rUP5DalRwB,0.381,266960,0.288,6AYFKOPbmd12rUP5DalRwB,0.00226,1,0.12,-12.323,1,3 Rounds and a Sound - Blind Pilot,0.0337,59.343,4,https://api.spotify.com/v1/tracks/6AYFKOPbmd12rUP5DalRwB,audio_features,spotify:track:6AYFKOPbmd12rUP5DalRwB,0.198
0.221,https://api.spotify.com/v1/audio-analysis/2i2Lz3FDIqYdsJZEWkEaTC,0.294,237400,0.635,2i2Lz3FDIqYdsJZEWkEaTC,0.00281,5,0.102,-7.202,0,42 - Coldplay,0.0349,141.388,4,https://api.spotify.com/v1/tracks/2i2Lz3FDIqYdsJZEWkEaTC,audio_features,spotify:track:2i2Lz3FDIqYdsJZEWkEaTC,0.176
0.042,https://api.spotify.com/v1/audio-analysis/5qdCsd05UUdtAsAtET9gxV,0.381,238013,0.939,5qdCsd05UUdtAsAtET9gxV,0.918,9,0.172,-4.684,1,4th Dimensional Transition - MGMT,0.125,159.97,4,https://api.spotify.com/v1/tracks/5qdCsd05UUdtAsAtET9gxV,audio_features,spotify:track:5qdCsd05UUdtAsAtET9gxV,0.335
1.42E-05,https://api.spotify.com/v1/audio-analysis/4tIUZFXJ7FWZqn2AxhbkyI,0.377,336333,0.984,4tIUZFXJ7FWZqn2AxhbkyI,0.612,1,0.388,-4.423,1,5 Minutes Alone [Live Version] - Pantera,0.0998,99.196,4,https://api.spotify.com/v1/tracks/4tIUZFXJ7FWZqn2AxhbkyI,audio_features,spotify:track:4tIUZFXJ7FWZqn2AxhbkyI,0.132
0.00443,https://api.spotify.com/v1/audio-analysis/3OLXtKzu57rRnK9yG4Yvk8,0.561,223267,0.792,3OLXtKzu57rRnK9yG4Yvk8,0.566,4,0.0603,-9.272,1,5.45 - Gang Of Four,0.201,139.59,4,https://api.spotify.com/v1/tracks/3OLXtKzu57rRnK9yG4Yvk8,audio_features,spotify:track:3OLXtKzu57rRnK9yG4Yvk8,0.802
0.00237,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,0.52,253587,0.852,58ge6dfP91o9oXMzq3XkIS,5.79E-05,0,0.0733,-5.866,1,505 - Arctic Monkeys,0.0543,140.267,4,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,audio_features,spotify:track:58ge6dfP91o9oXMzq3XkIS,0.234
0.0553,https://api.spotify.com/v1/audio-analysis/7MLL0OEmIymNVGp0NbOi80,0.59,140213,0.828,7MLL0OEmIymNVGp0NbOi80,0.000307,9,0.109,-5.422,1,53rd & 3rd   (Remastered Version ) - Ramones,0.0448,134.936,4,https://api.spotify.com/v1/tracks/7MLL0OEmIymNVGp0NbOi80,audio_features,spotify:track:7MLL0OEmIymNVGp0NbOi80,0.903
0.0917,https://api.spotify.com/v1/audio-analysis/04MjaNej8XUHI8jbz2THez,0.747,310467,0.749,04MjaNej8XUHI8jbz2THez,0,9,0.0444,-6.255,1,7 - Prince & The New Power Generation,0.0563,100.722,4,https://api.spotify.com/v1/tracks/04MjaNej8XUHI8jbz2THez,audio_features,spotify:track:04MjaNej8XUHI8jbz2THez,0.563
0.0677,https://api.spotify.com/v1/audio-analysis/0seE1aF8gzSPH79Dcvcbw2,0.704,290933,0.838,0seE1aF8gzSPH79Dcvcbw2,0.00669,2,0.121,-5.744,1,83 - John Mayer,0.0289,121.972,4,https://api.spotify.com/v1/tracks/0seE1aF8gzSPH79Dcvcbw2,audio_features,spotify:track:0seE1aF8gzSPH79Dcvcbw2,0.699
0.258,https://api.spotify.com/v1/audio-analysis/6PVOG18IfMizQqK1o031su,0.718,259240,0.684,6PVOG18IfMizQqK1o031su,7.06E-06,9,0.115,-8.071,0,911 - Wyclef Jean / Mary J. Blige,0.199,87.008,4,https://api.spotify.com/v1/tracks/6PVOG18IfMizQqK1o031su,audio_features,spotify:track:6PVOG18IfMizQqK1o031su,0.676
0.294,https://api.spotify.com/v1/audio-analysis/7aRJmzl622nk2qhnUxc1fV,0.62,329093,0.666,7aRJmzl622nk2qhnUxc1fV,0.907,1,0.18,-11.865,1,A Beautiful Mine - RJD2,0.11,114.216,4,https://api.spotify.com/v1/tracks/7aRJmzl622nk2qhnUxc1fV,audio_features,spotify:track:7aRJmzl622nk2qhnUxc1fV,0.0367
0.13,https://api.spotify.com/v1/audio-analysis/3UlWhHUTCSw2LvnQkmDEs8,0.629,216933,0.841,3UlWhHUTCSw2LvnQkmDEs8,0,5,0.0614,-7.822,0,A Beggar On A Beach Of Gold - Mike And The Mechanics,0.0314,92.318,4,https://api.spotify.com/v1/tracks/3UlWhHUTCSw2LvnQkmDEs8,audio_features,spotify:track:3UlWhHUTCSw2LvnQkmDEs8,0.81
0.0742,https://api.spotify.com/v1/audio-analysis/71sC9gVXaFRwAMHJyQO8al,0.479,279067,0.424,71sC9gVXaFRwAMHJyQO8al,0.91,4,0.184,-10.919,1,A Better Son/Daughter - Rilo Kiley,0.0404,113.931,3,https://api.spotify.com/v1/tracks/71sC9gVXaFRwAMHJyQO8al,audio_features,spotify:track:71sC9gVXaFRwAMHJyQO8al,0.0473
0.832,https://api.spotify.com/v1/audio-analysis/7DkFhmZ98yCgGNMa8cOPsg,0.592,225667,0.426,7DkFhmZ98yCgGNMa8cOPsg,0.0908,2,0.115,-15.107,0,A Book Like This - Angus & Julia Stone,0.0305,107.747,4,https://api.spotify.com/v1/tracks/7DkFhmZ98yCgGNMa8cOPsg,audio_features,spotify:track:7DkFhmZ98yCgGNMa8cOPsg,0.285
0.00186,https://api.spotify.com/v1/audio-analysis/47IWLfIKOKhFnz1FUEUIkE,0.42,267726,0.934,47IWLfIKOKhFnz1FUEUIkE,0,1,0.344,-3.597,0,A Boy Brushed Red Living In Black And White - Underoath,0.112,170.003,4,https://api.spotify.com/v1/tracks/47IWLfIKOKhFnz1FUEUIkE,audio_features,spotify:track:47IWLfIKOKhFnz1FUEUIkE,0.461
0.852,https://api.spotify.com/v1/audio-analysis/1xhL7bKNW6SCGgYhy6oZ06,0.634,188880,0.306,1xhL7bKNW6SCGgYhy6oZ06,0,2,0.0996,-13.172,0,A Cautionary Song - The Decemberists,0.0321,97.472,4,https://api.spotify.com/v1/tracks/1xhL7bKNW6SCGgYhy6oZ06,audio_features,spotify:track:1xhL7bKNW6SCGgYhy6oZ06,0.583
0.000566,https://api.spotify.com/v1/audio-analysis/2CbtdkBeW9Znt4vXTOafAl,0.455,331200,0.881,2CbtdkBeW9Znt4vXTOafAl,6.06E-05,11,0.11,-5.587,1,A Certain Romance - Arctic Monkeys,0.0401,137.949,4,https://api.spotify.com/v1/tracks/2CbtdkBeW9Znt4vXTOafAl,audio_features,spotify:track:2CbtdkBeW9Znt4vXTOafAl,0.201
0.694,https://api.spotify.com/v1/audio-analysis/6f65alTsp8H5BBd7MKh2Ya,0.415,179933,0.363,6f65alTsp8H5BBd7MKh2Ya,0.633,7,0.105,-10.736,1,A Cloak Of Elvenkind - Marcy Playground,0.0315,83.486,4,https://api.spotify.com/v1/tracks/6f65alTsp8H5BBd7MKh2Ya,audio_features,spotify:track:6f65alTsp8H5BBd7MKh2Ya,0.258
0.0636,https://api.spotify.com/v1/audio-analysis/5yT78faw1Uyci1FmHrZrYp,0.51,396613,0.679,5yT78faw1Uyci1FmHrZrYp,0.00328,2,0.99,-11.027,1,A Cura - Lulu  Santos,0.0627,93.009,4,https://api.spotify.com/v1/tracks/5yT78faw1Uyci1FmHrZrYp,audio_features,spotify:track:5yT78faw1Uyci1FmHrZrYp,0.326
0.00224,https://api.spotify.com/v1/audio-analysis/4uY4fBNMiA2vwfQKxsLv0n,0.463,207200,0.59,4uY4fBNMiA2vwfQKxsLv0n,0,9,0.0612,-11.721,1,A Day Late - Anberlin,0.0695,168.527,4,https://api.spotify.com/v1/tracks/4uY4fBNMiA2vwfQKxsLv0n,audio_features,spotify:track:4uY4fBNMiA2vwfQKxsLv0n,0.615
0.168,https://api.spotify.com/v1/audio-analysis/2gFBs11HaC624u5bmXmyiW,0.414,193173,0.796,2gFBs11HaC624u5bmXmyiW,4.40E-05,6,0.617,-7.003,1,A Day Without Me - U2,0.0561,156.076,4,https://api.spotify.com/v1/tracks/2gFBs11HaC624u5bmXmyiW,audio_features,spotify:track:2gFBs11HaC624u5bmXmyiW,0.712
0.0558,https://api.spotify.com/v1/audio-analysis/2vZP8r1EqoQut68aIqpKJ9,0.691,204693,0.786,2vZP8r1EqoQut68aIqpKJ9,3.52E-05,6,0.188,-6.171,1,A Days Work (feat. P.O.S) - BK-One,0.276,72.898,4,https://api.spotify.com/v1/tracks/2vZP8r1EqoQut68aIqpKJ9,audio_features,spotify:track:2vZP8r1EqoQut68aIqpKJ9,0.902
0.12,https://api.spotify.com/v1/audio-analysis/4ceAlq2Wfve5xIdHVf42Vi,0.711,169600,0.682,4ceAlq2Wfve5xIdHVf42Vi,0,3,0.117,-7.603,1,A Deeper Shade Of Soul - Ray Barretto,0.0316,121.888,4,https://api.spotify.com/v1/tracks/4ceAlq2Wfve5xIdHVf42Vi,audio_features,spotify:track:4ceAlq2Wfve5xIdHVf42Vi,0.956
0.0585,https://api.spotify.com/v1/audio-analysis/129lYDVKnWtlJc2PZJviuA,0.678,205373,0.845,129lYDVKnWtlJc2PZJviuA,0,7,0.0942,-3.527,1,A Dios Le Pido - Juanes,0.055,97.002,4,https://api.spotify.com/v1/tracks/129lYDVKnWtlJc2PZJviuA,audio_features,spotify:track:129lYDVKnWtlJc2PZJviuA,0.954
0.0274,https://api.spotify.com/v1/audio-analysis/5u6vPSVudzIOYae8HePTYk,0.564,194133,0.784,5u6vPSVudzIOYae8HePTYk,0,9,0.432,-5.679,1,A Dirge for the Underground - Attica! Attica!,0.0539,163.418,4,https://api.spotify.com/v1/tracks/5u6vPSVudzIOYae8HePTYk,audio_features,spotify:track:5u6vPSVudzIOYae8HePTYk,0.9
0.0336,https://api.spotify.com/v1/audio-analysis/6Ng7aSXUQpu0bUD02e7bLd,0.673,155493,0.565,6Ng7aSXUQpu0bUD02e7bLd,0.307,9,0.494,-10.489,0,A Dream - Cut Copy,0.0597,118.814,4,https://api.spotify.com/v1/tracks/6Ng7aSXUQpu0bUD02e7bLd,audio_features,spotify:track:6Ng7aSXUQpu0bUD02e7bLd,0.311
0.0533,https://api.spotify.com/v1/audio-analysis/1MrqlDkxsrMsxHni2Yb9Tx,0.441,225160,0.87,1MrqlDkxsrMsxHni2Yb9Tx,3.70E-06,2,0.0936,-4.845,1,A Dustland Fairytale - The Killers,0.057,134.469,4,https://api.spotify.com/v1/tracks/1MrqlDkxsrMsxHni2Yb9Tx,audio_features,spotify:track:1MrqlDkxsrMsxHni2Yb9Tx,0.274
0.11,https://api.spotify.com/v1/audio-analysis/4tSZr210OTY6upjNYfEYUI,0.699,239307,0.61,4tSZr210OTY6upjNYfEYUI,0.00188,4,0.06,-13.372,0,A Face In The Crowd - Tom Petty,0.0272,105.568,4,https://api.spotify.com/v1/tracks/4tSZr210OTY6upjNYfEYUI,audio_features,spotify:track:4tSZr210OTY6upjNYfEYUI,0.755
0.0504,https://api.spotify.com/v1/audio-analysis/4YPu0Jz6vwlYfQsRTOoM7N,0.717,201000,0.709,4YPu0Jz6vwlYfQsRTOoM7N,0.0358,11,0.199,-7.401,0,A Forest - Bat For Lashes,0.0333,119.948,4,https://api.spotify.com/v1/tracks/4YPu0Jz6vwlYfQsRTOoM7N,audio_features,spotify:track:4YPu0Jz6vwlYfQsRTOoM7N,0.142
0.107,https://api.spotify.com/v1/audio-analysis/0uPBJolEn505OX2G3BV9Hf,0.554,169627,0.546,0uPBJolEn505OX2G3BV9Hf,0.927,5,0.152,-11.289,1,A Gentle Dissolve - Thievery Corporation,0.0383,79.017,4,https://api.spotify.com/v1/tracks/0uPBJolEn505OX2G3BV9Hf,audio_features,spotify:track:0uPBJolEn505OX2G3BV9Hf,0.117
0.0243,https://api.spotify.com/v1/audio-analysis/6XOINCZBv8Q7RXgNNiTwIN,0.619,236583,0.781,6XOINCZBv8Q7RXgNNiTwIN,0.000286,5,0.402,-7.455,0,A Girl Like You - Edwyn Collins,0.0393,126.267,4,https://api.spotify.com/v1/tracks/6XOINCZBv8Q7RXgNNiTwIN,audio_features,spotify:track:6XOINCZBv8Q7RXgNNiTwIN,0.533
